question_text,unit_id,marks,question_type,co_id,bloom_level
"The fundamental processing unit of a neural network is called a _______.",1,0.5,Fill_Blank,CO1,K1
"A perceptron can solve only ______ separable problems.",1,0.5,Fill_Blank,CO1,K1
"The activation function used in a perceptron is the______function.",1,0.5,Fill_Blank,CO1,K1
"Neurons compute a______ sum of input signals.",1,0.5,Fill_Blank,CO1,K1
"Feedforward neural networks allow information to flow only in one direction. Write True or False",1,0.5,True_False,CO1,K1
"The algorithm used to train multi-layer neural networks is called_______.",1,0.5,Fill_Blank,CO1,K1
"In backpropagation, errors are propagated ______ through the network.",1,0.5,Fill_Blank,CO1,K1
"The primary role of an activation function is to introduce _______.",1,0.5,Fill_Blank,CO1,K1
"The loss function measures the ______ between predicted output and actual output.",1,0.5,Fill_Blank,CO1,K1
"The learning rate controls the ______ of weight updates.",1,0.5,Fill_Blank,CO1,K1
"Backpropagation minimizes the loss function. Write True or False.",1,0.5,True_False,CO1,K1
"A single-layer perceptron has no ______ layer.",1,0.5,Fill_Blank,CO1,K1
"Bias in a neuron helps in shifting the ______ activation function.",1,0.5,Fill_Blank,CO1,K1
"Gradient descent updates weights in the direction of the ______ gradient.",1,0.5,Fill_Blank,CO1,K1
"The output of a neuron is obtained after applying the ______ function.",1,0.5,Fill_Blank,CO1,K1
"Feedforward networks do not contain ______ connections.",1,0.5,Fill_Blank,CO1,K1
"The XOR problem cannot be solved using a ______ perceptron.",1,0.5,Fill_Blank,CO1,K1
"The objective of training a neural network is to minimize the ______ function.",1,0.5,Fill_Blank,CO1,K1
"The symbol commonly used to denote learning rate is ______.",1,0.5,Fill_Blank,CO1,K1
"A neuron computes a weighted sum followed by ______.",1,0.5,Fill_Blank,CO1,K1
"Softmax activation is used for ______ classification problems.",1,0.5,Fill_Blank,CO1,K1
"Backpropagation uses the ______ rule for weight updates.",1,0.5,Fill_Blank,CO1,K1
"Hidden layers enable neural networks to learn ______ relationships.",1,0.5,Fill_Blank,CO1,K1
"The step function outputs only ______ values.",1,0.5,Fill_Blank,CO1,K1
"The derivative of the loss function is used to compute the ______.",1,0.5,Fill_Blank,CO1,K1
"Training stops when the loss reaches ______.",1,0.5,Fill_Blank,CO1,K1
"The output layer produces the ______ result.",1,0.5,Fill_Blank,CO1,K1
"Forward propagation computes outputs layer by layer. Write True or False.",1,0.5,True_False,CO1,K1
"Weight initialization affects training ______.",1,0.5,Fill_Blank,CO1,K1
"Activation functions must be ______ to apply backpropagation.",1,0.5,Fill_Blank,CO1,K1
"List the components of an artificial neuron.",1,2,Descriptive,CO1,K2
"Explain the role of weights in a neural network.",1,2,Descriptive,CO1,K2
"What is the purpose of bias in a neuron?",1,2,Descriptive,CO1,K2
"Explain why activation functions are required in neural networks.",1,2,Descriptive,CO1,K2
"Differentiate between linear and non-linear activation functions.",1,2,Descriptive,CO1,K2
"What is the role of learning rate in training?",1,2,Descriptive,CO1,K2
"Explain the concept of loss function.",1,2,Descriptive,CO1,K2
"Why is XOR not solvable by a single-layer perceptron?",1,2,Descriptive,CO1,K2
"Define forward propagation in neural networks.",1,2,Descriptive,CO1,K2
"Define backpropagation and list out any one significance",1,2,Descriptive,CO1,K2
"Explain the significance of hidden layers.",1,2,Descriptive,CO1,K2
"Differentiate between supervised and unsupervised learning.",1,2,Descriptive,CO1,K2
"List out the stopping criteria in neural network training.",1,2,Descriptive,CO1,K2
"Why is weight initialization important?",1,2,Descriptive,CO1,K2
"Explain the effect of too high learning rate.",1,2,Descriptive,CO1,K2
"Explain the working of a perceptron with a neat diagram.",1,10,Long Answer,CO1,K3
"Describe the backpropagation algorithm step by step with an example.",1,10,Long Answer,CO1,K3
"Explain gradient descent and its role in training neural networks.",1,10,Long Answer,CO1,K3
"Compare single-layer and multi-layer perceptrons.",1,10,Long Answer,CO1,K3
"Discuss the limitations of perceptron learning algorithm.",1,10,Long Answer,CO1,K3
"Explain the importance of activation functions with examples.",1,10,Long Answer,CO1,K3
"Describe the training process of a feedforward neural network.",1,10,Long Answer,CO1,K3
"Explain the role of loss functions in neural networks.",1,10,Long Answer,CO1,K3
"Discuss convergence issues in gradient descent and the ways to overcome.",1,10,Long Answer,CO1,K3
"Explain why deep neural networks outperform shallow networks.",1,10,Long Answer,CO1,K3
"Explain the architecture of a multi-layer perceptron with training process and list out its application.",1,14,Essay,CO1,K4
"Discuss the backpropagation algorithm with mathematical formulation with an example.",1,14,Essay,CO1,K4
"Explain the various gradient descent variants used in neural networks and expalin why it is needed.",1,14,Essay,CO1,K4
"Analyze the role of activation functions in deep learning.",1,14,Essay,CO1,K4
"Explain how neural networks learn non-linear decision boundaries.",1,14,Essay,CO1,K4
"Discuss challenges in training neural networks and how to improve training.",1,14,Essay,CO1,K4
"Explain the effect of learning rate on convergence and its application.",1,14,Essay,CO1,K4
"Compare feedforward and recurrent neural networks and highlight the limitations.",1,14,Essay,CO1,K4
"Discuss overfitting in neural networks and remedies.",1,14,Essay,CO1,K4
"Explain the complete training lifecycle of a neural network.",1,14,Essay,CO1,K4
"Describe weight update mechanisms in multi-layer networks.",1,14,Essay,CO1,K4
"Explain the XOR problem using perceptron geometry.",1,14,Essay,CO1,K4
"Discuss the importance of differentiability in activation functions.",1,14,Essay,CO1,K4
"Explain early stopping and convergence criteria in a neural network.",1,14,Essay,CO1,K4
"Analyze the bias–variance tradeoff in neural networks and ways to have very good model.",1,14,Essay,CO1,K4
"Explain the mathematical intuition behind backpropagation with a realtime example.",1,14,Essay,CO1,K4
"Discuss the advantages of multi-layer neural networks. and how it is better than single layer neural networks.",1,14,Essay,CO1,K4
"Explain how loss functions guide learning.",1,14,Essay,CO1,K4
"Describe neural network training from scratch.",1,14,Essay,CO1,K4
"Explain how neural networks generalize from data.",1,14,Essay,CO1,K4
"Gradient descent updates weights in the direction of the ______ of the loss function.",2,0.5,Fill_Blank,CO2,K1
